GEOID,Neighborhoods_Code
"36081101700",Ft. Totten-Bay Terrace-Clearview
"36081115500",Murray Hill
"36081093900",College Point
"36081094201",Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
"36081094202",Hammels-Arverne-Edgemere
"36081094203",Hammels-Arverne-Edgemere
"36081117100",Murray Hill
"36081116100",Flushing
"36081116700",Murray Hill
"36081117500",Murray Hill
"36081118100",Auburndale
"36081119100",East Flushing
"36085020700",Port Richmond
"36085017010",Arden Heights
"36085007700",West New Brighton-New Brighton-St. George
"36085002700",Stapleton-Rosebank
"36085003600",Stapleton-Rosebank
"36085018701",Westerleigh
"36085015400",park-cemetery-etc-Staten Island
"36085000900",West New Brighton-New Brighton-St. George
"36085012200",New Dorp-Midland Beach
"36085011201",Old Town-Dongan Hills-South Beach
"36061005502",West Village
"36085030302",Mariner's Harbor-Arlington-Port Ivory-Graniteville
"36085024700",Port Richmond
"36061019900",Morningside Heights
"36085006700",New Brighton-Silver Lake
"36085014608",Great Kills
"36085017011",Annadale-Huguenot-Prince's Bay-Eltingville
"36061009700",Hudson Yards-Chelsea-Flat Iron-Union Square
"36061001502",Battery Park City-Lower Manhattan
"36061013900",Clinton
"36061008300",Hudson Yards-Chelsea-Flat Iron-Union Square
"36061024700",Washington Heights South
"36061003602",East Village
"36061019800",East Harlem North
"36061018700",Upper West Side
"36061016500",Upper West Side
"36061012500",Midtown-Midtown South
"36061023300",Hamilton Heights
"36061020800",Central Harlem North-Polo Grounds
"36085000700",West New Brighton-New Brighton-St. George
"36085013201",Oakwood-Oakwood Beach
"36085027704",Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
"36085027302",New Springville-Bloomfield-Travis
"36085029104",New Springville-Bloomfield-Travis
"36085017009",Arden Heights
"36085018902",New Springville-Bloomfield-Travis
"36085021300",Port Richmond
"36085010500",New Brighton-Silver Lake
"36061015300",Lincoln Square
"36085002001",Stapleton-Rosebank
"36085007000",Old Town-Dongan Hills-South Beach
"36061011600",Lenox Hill-Roosevelt Island
"36061016002",East Harlem South
"36061030700",Marble Hill-Inwood
"36061004800",Gramercy
"36061011201",Midtown-Midtown South
"36061023200",Central Harlem North-Polo Grounds
"36061009100",Hudson Yards-Chelsea-Flat Iron-Union Square
"36061006600",Murray Hill-Kips Bay
"36061001001",Lower East Side
"36061007700",West Village
"36061017401",East Harlem South
"36061015602",East Harlem South
"36061018000",East Harlem North
"36061008000",Murray Hill-Kips Bay
"36061020101",Morningside Heights
"36061022200",Central Harlem South
"36061013800",Yorkville
"36061012600",Lenox Hill-Roosevelt Island
"36061022500",Hamilton Heights
"36061007400",Midtown-Midtown South
"36061003200",East Village
"36061026100",Washington Heights South
"36061004100",SoHo-TriBeCa-Civic Center-Little Italy
"36061002100",SoHo-TriBeCa-Civic Center-Little Italy
"36061001402",Lower East Side
"36061028100",Washington Heights North
"36061017900",Upper West Side
"36085017012",Annadale-Huguenot-Prince's Bay-Eltingville
"36061024100",Washington Heights South
"36061017200",East Harlem South
"36061011300",Midtown-Midtown South
"36061019000",Central Harlem South
"36061009500",Midtown-Midtown South
"36061027300",Washington Heights North
"36061010601",Turtle Bay-East Midtown
"36061005900",West Village
"36061014602",Yorkville
"36061006300",West Village
"36061025100",Washington Heights South
"36061011800",Lenox Hill-Roosevelt Island
"36061003400",East Village
"36061020500",Morningside Heights
"36061018900",Upper West Side
"36061003002",East Village
"36061013100",Midtown-Midtown South
"36061015802",East Harlem South
"36061008200",Murray Hill-Kips Bay
"36061020701",Morningside Heights
"36061008900",Hudson Yards-Chelsea-Flat Iron-Union Square
"36061002500",Chinatown
"36061011100",Hudson Yards-Chelsea-Flat Iron-Union Square
"36061005000",Gramercy
"36061000800",Chinatown
"36061014200",Upper East Side-Carnegie Hill
"36061007200",Murray Hill-Kips Bay
"36061000100",park-cemetery-etc-Manhattan
"36061000100",park-cemetery-etc-Manhattan
"36061021500",Central Harlem North-Polo Grounds
"36061025900",Central Harlem North-Polo Grounds
"36061023801",Lenox Hill-Roosevelt Island
"36061031703",Battery Park City-Lower Manhattan
"36061004400",Stuyvesant Town-Cooper Village
"36085013301",West New Brighton-New Brighton-St. George
"36061012200",Upper East Side-Carnegie Hill
"36061013600",Yorkville
"36061014402",Yorkville
"36061015601",Yorkville
"36061021600",Central Harlem South
"36061022000",Central Harlem South
"36061025300",Washington Heights South
"36061027100",Washington Heights North
"36061028300",Washington Heights North
